line_id,library,version
spring-framework-5.3.x,org.eclipse.sisu:org.eclipse.sisu.inject,0.3.5
spring-framework-5.3.x,org.eclipse.sisu:org.eclipse.sisu.plexus,0.3.0
spring-framework-5.3.x,org.elasticsearch:elasticsearch-cli,7.17.15
spring-framework-5.3.x,org.elasticsearch:elasticsearch-core,7.17.15
spring-framework-5.3.x,org.elasticsearch:elasticsearch-geo,7.17.15
spring-framework-5.3.x,org.elasticsearch:elasticsearch-lz4,7.17.15
spring-framework-5.3.x,org.elasticsearch:elasticsearch-plugin-classloader,7.17.15
spring-framework-5.3.x,org.elasticsearch:elasticsearch-secure-sm,7.17.15
spring-framework-5.3.x,org.elasticsearch:elasticsearch-x-content,7.17.15
spring-framework-5.3.x,org.elasticsearch:elasticsearch,7.17.15
spring-framework-5.3.x,org.elasticsearch.client:elasticsearch-rest-client,7.17.15
spring-framework-5.3.x,org.elasticsearch.client:elasticsearch-rest-high-level-client,7.17.15
spring-framework-5.3.x,org.elasticsearch.plugin:aggs-matrix-stats-client,7.17.15
spring-framework-5.3.x,org.elasticsearch.plugin:lang-mustache-client,7.17.15
spring-framework-5.3.x,org.elasticsearch.plugin:mapper-extras-client,7.17.15
spring-framework-5.3.x,org.elasticsearch.plugin:parent-join-client,7.17.15
spring-framework-5.3.x,org.elasticsearch.plugin:rank-eval-client,7.17.15
spring-framework-5.3.x,org.freemarker:freemarker,2.3.32
spring-framework-5.3.x,org.fusesource.hawtbuf:hawtbuf,1.11
spring-framework-5.3.x,org.glassfish:jakarta.el,3.0.4
spring-framework-5.3.x,org.glassfish.hk2:class-model,2.6.1
spring-framework-5.3.x,org.glassfish.hk2:hk2-api,2.6.1
spring-framework-5.3.x,org.glassfish.hk2:hk2-core,2.6.1
spring-framework-5.3.x,org.glassfish.hk2:hk2-locator,2.6.1
spring-framework-5.3.x,org.glassfish.hk2:hk2-runlevel,2.6.1
spring-framework-5.3.x,org.glassfish.hk2:hk2-utils,2.6.1
spring-framework-5.3.x,org.glassfish.hk2:hk2,2.6.1
spring-framework-5.3.x,org.glassfish.hk2:osgi-resource-locator,1.0.3
spring-framework-5.3.x,org.glassfish.hk2:spring-bridge,2.6.1
spring-framework-5.3.x,org.glassfish.hk2.external:aopalliance-repackaged,2.6.1
